"date","incidents","displacedPeople","structures","menDisplaced","womenDisplaced","childrenDisplaced"
"2023-06-26",2,0,2,0,0,0
"2023-07-01",1,0,1,0,0,0
"2023-07-03",1,4,1,0,0,4
"2023-07-06",2,0,2,0,0,0
"2023-07-07",1,3,1,1,1,1
"2023-07-09",1,4,1,1,1,2
"2023-07-10",2,0,3,0,0,0
"2023-07-11",3,6,20,3,1,2
"2023-07-12",4,0,4,0,0,0
"2023-07-15",1,5,1,1,1,3
"2023-07-17",1,35,18,9,8,17
"2023-07-18",1,0,2,0,0,0
"2023-07-19",2,6,2,1,1,4
"2023-07-20",1,0,29,0,0,0
"2023-07-24",2,7,2,1,1,5
"2023-07-25",2,11,36,2,2,7
"2023-07-26",3,0,7,0,0,0
"2023-07-27",1,0,4,0,0,0
"2023-07-29",1,4,1,1,1,2
"2023-07-30",1,8,1,3,2,3
"2023-07-31",3,0,4,0,0,0
"2023-08-01",2,0,2,0,0,0
"2023-08-03",1,0,1,0,0,0
"2023-08-09",1,1,2,1,0,0
"2023-08-11",1,4,1,1,1,2
"2023-08-14",1,0,4,0,0,0
"2023-08-15",1,0,1,0,0,0
"2023-08-17",5,12,9,3,3,6
"2023-08-21",3,5,16,1,2,2
"2023-08-24",3,2,3,1,1,0
"2023-08-26",1,0,1,0,0,0
"2023-08-27",1,0,1,0,0,0
"2023-08-29",2,5,2,1,1,3
"2023-08-30",2,4,6,1,1,2
"2023-09-02",1,0,1,0,0,0
"2023-09-04",1,0,1,0,0,0
"2023-09-06",1,0,12,0,0,0
"2023-09-08",1,0,1,0,0,0
"2023-09-12",1,0,1,0,0,0
"2023-09-13",1,0,2,0,0,0
"2023-09-14",1,2,1,0,0,0
"2023-09-15",1,8,1,2,2,4
"2023-09-17",2,2,2,1,0,1
"2023-09-18",4,5,4,1,1,3
"2023-09-23",1,2,1,1,1,0
"2023-09-26",2,11,8,2,2,7
"2023-09-27",2,3,17,2,0,1
"2023-09-28",2,0,2,0,0,0
"2023-10-01",2,21,2,7,6,8
"2023-10-06",1,5,1,1,1,3
"2023-10-08",1,2,1,1,1,0
"2023-10-09",1,14,6,5,4,5
"2023-10-15",1,0,1,0,0,0
"2023-10-18",1,21,2,5,4,12
"2023-10-23",1,0,1,0,0,0
"2023-10-24",3,14,4,3,3,8
"2023-10-25",2,5,4,1,1,3
"2023-10-26",1,0,2,0,0,0
"2023-10-27",1,0,1,0,0,0
"2023-10-28",2,11,2,4,3,4
"2023-10-30",1,16,3,5,3,8
"2023-10-31",2,19,3,4,6,9
"2023-11-02",2,0,9,0,0,0
"2023-11-03",1,26,11,8,9,9
"2023-11-07",1,0,1,0,0,0
"2023-11-14",1,0,1,0,0,0
"2023-11-15",1,8,1,1,1,6
"2023-11-16",1,0,3,0,0,0
"2023-11-17",1,0,4,0,0,0
"2023-11-18",1,6,1,1,1,4
"2023-11-20",2,7,2,3,2,2
"2023-11-21",2,6,2,1,1,4
"2023-11-22",1,19,8,4,4,11
"2023-11-23",1,0,40,0,0,0
"2023-11-27",3,29,7,6,6,17
"2023-11-28",3,6,6,1,1,4
"2023-11-29",1,4,1,1,1,2
"2023-11-30",3,42,8,10,12,20
"2023-12-03",2,21,3,4,4,13
"2023-12-05",1,7,1,2,2,3
"2023-12-06",4,43,20,11,8,24
"2023-12-11",2,0,4,0,0,0
"2023-12-12",2,0,13,0,0,0
"2023-12-13",4,39,5,11,9,19
"2023-12-14",2,1,3,1,0,0
"2023-12-15",1,0,1,0,0,0
"2023-12-18",1,0,2,0,0,0
"2023-12-19",2,0,4,0,0,0
"2023-12-20",1,0,1,0,0,0
"2023-12-21",2,12,21,2,2,8
"2023-12-25",2,0,2,0,0,0
"2023-12-26",3,36,13,14,10,12
"2023-12-27",1,7,1,1,2,4
"2023-12-28",1,0,1,0,0,0
"2024-01-01",4,10,15,3,4,3
"2024-01-02",1,0,1,0,0,0
"2024-01-03",1,14,1,6,4,4
"2024-01-07",1,0,2,0,0,0
"2024-01-08",1,0,2,0,0,0
"2024-01-10",4,9,43,4,2,3
"2024-01-15",2,12,3,4,2,6
"2024-01-16",2,0,21,0,0,0
"2024-01-17",3,1,3,0,1,0
"2024-01-18",1,18,14,3,3,12
"2024-01-19",1,0,1,0,0,0
"2024-01-21",1,5,4,4,1,0
"2024-01-22",1,0,1,0,0,0
"2024-01-23",3,11,4,2,2,7
"2024-01-25",1,0,1,0,0,0
"2024-01-26",1,0,6,0,0,0
"2024-01-30",4,4,13,1,1,2
"2024-01-31",1,0,2,0,0,0
"2024-02-06",3,5,5,3,2,0
"2024-02-07",2,0,5,0,0,0
"2024-02-08",1,0,3,0,0,0
"2024-02-10",1,5,1,1,1,3
"2024-02-13",2,1,3,1,0,0
"2024-02-14",1,11,1,3,3,5
"2024-02-18",1,2,1,1,1,0
"2024-02-19",2,13,4,4,4,5
"2024-02-20",3,8,3,4,3,1
"2024-02-21",1,23,1,6,5,12
"2024-02-26",1,0,1,0,0,0
"2024-02-28",3,16,7,3,7,6
"2024-02-29",3,7,19,2,2,3
"2024-03-01",1,17,1,4,4,9
"2024-03-02",1,0,1,0,0,0
"2024-03-03",1,0,3,0,0,0
"2024-03-04",1,0,1,0,0,0
"2024-03-05",1,8,1,2,2,4
"2024-03-06",3,1,9,1,0,0
"2024-03-07",1,0,1,0,0,0
"2024-03-10",5,11,8,2,3,6
"2024-03-11",2,7,2,2,2,3
"2024-03-13",1,0,1,0,0,0
"2024-03-14",2,0,17,0,0,0
"2024-03-18",2,0,27,0,0,0
"2024-03-20",1,0,2,0,0,0
"2024-03-21",1,0,8,0,0,0
"2024-03-29",1,0,1,0,0,0
"2024-04-01",2,0,5,0,0,0
"2024-04-02",1,5,2,1,2,2
"2024-04-03",2,1,2,2,1,1
"2024-04-04",1,0,1,0,0,0
"2024-04-09",1,8,1,2,2,4
"2024-04-15",1,0,7,0,0,0
"2024-04-16",3,0,3,0,0,0
"2024-04-17",1,0,2,0,0,0
"2024-04-22",2,0,2,0,0,0
"2024-04-29",1,0,1,0,0,0
"2024-05-01",3,7,4,1,1,5
"2024-05-02",3,0,8,0,0,0
"2024-05-03",1,0,1,0,0,0
"2024-05-06",1,0,1,0,0,0
"2024-05-07",3,17,7,4,4,9
"2024-05-08",3,22,6,7,4,11
"2024-05-09",3,28,14,4,4,20
"2024-05-10",1,0,1,0,0,0
"2024-05-12",2,13,3,1,2,10
"2024-05-13",3,2,8,1,1,0
"2024-05-16",1,10,5,4,3,3
"2024-05-17",1,0,1,0,0,0
"2024-05-20",2,8,2,3,2,3
"2024-05-23",2,0,3,0,0,0
"2024-05-24",1,0,1,0,0,0
"2024-05-26",1,0,3,0,0,0
"2024-05-27",1,0,1,0,0,0
"2024-05-28",6,24,10,5,8,11
"2024-05-30",3,0,5,0,0,0
"2024-05-31",1,0,1,0,0,0
"2024-06-02",1,3,2,1,1,1
"2024-06-03",6,31,30,7,9,15
"2024-06-04",8,19,34,3,5,11
"2024-06-05",1,2,4,1,1,0
"2024-06-06",4,36,7,9,8,19
"2024-06-08",1,29,1,6,12,11
"2024-06-10",4,0,8,0,0,0
"2024-06-13",1,11,1,2,1,8
"2024-06-14",2,10,7,2,2,6
